Date,Open,High,Low,Close,Volume,Adj Close
2016-10-25,126.519997,128.059998,125.75,126.510002,8199300,126.510002
2016-10-24,127.419998,129.289993,126.150002,127.330002,15946000,127.330002
2016-10-21,122.50,127.849998,122.309998,127.50,18786400,127.50
2016-10-20,121.970001,123.75,121.059998,123.349998,14461300,123.349998
2016-10-19,118.25,122.449997,118.00,121.870003,21908600,121.870003
2016-10-18,116.629997,119.82,116.50,118.790001,42053700,118.790001
2016-10-17,100.50,100.730003,98.379997,99.800003,23360700,99.800003
2016-10-14,101.589996,102.099998,100.349998,101.470001,9503100,101.470001
2016-10-13,98.010002,100.50,97.629997,100.230003,8305400,100.230003
2016-10-12,100.879997,102.470001,99.220001,99.50,7403800,99.50
2016-10-11,102.309998,102.900002,99.860001,100.589996,8998500,100.589996
2016-10-10,103.18,104.529999,102.760002,103.330002,6679100,103.330002
2016-10-07,103.980003,106.50,103.550003,104.82,8653600,104.82
2016-10-06,104.970001,105.470001,103.879997,105.07,6581700,105.07
2016-10-05,103.50,106.970001,103.43,106.279999,12909800,106.279999
2016-10-04,103.190002,104.440002,101.860001,102.339996,12115400,102.339996
2016-10-03,98.00,103.389999,98.00,102.629997,15316200,102.629997
2016-09-30,96.900002,99.529999,96.790001,98.550003,9788700,98.550003
2016-09-29,97.309998,98.309998,96.599998,96.669998,6211700,96.669998
2016-09-28,97.099998,97.589996,96.019997,97.480003,7230600,97.480003
2016-09-27,95.040001,97.639999,95.00,97.07,9657500,97.07
2016-09-26,95.379997,95.379997,94.040001,94.559998,6728600,94.559998
2016-09-23,95.75,96.970001,95.43,95.940002,6149000,95.940002
2016-09-22,95.540001,95.879997,94.230003,95.830002,11155500,95.830002
2016-09-21,96.900002,97.099998,93.260002,94.879997,20006300,94.879997
2016-09-20,98.779999,99.160004,97.660004,98.25,4732600,98.25
2016-09-19,99.900002,100.349998,97.82,98.059998,8608800,98.059998
2016-09-16,97.099998,99.489998,97.040001,99.480003,9424300,99.480003
2016-09-15,97.230003,97.970001,96.529999,97.339996,5293500,97.339996
2016-09-14,97.349998,98.349998,96.959999,97.010002,8481000,97.010002
2016-09-13,97.169998,98.00,95.330002,96.089996,11755500,96.089996
2016-09-12,95.910004,99.290001,95.709999,99.050003,7685900,99.050003
2016-09-09,99.059998,99.389999,96.50,96.50,7321400,96.50
2016-09-08,99.230003,100.050003,98.82,99.660004,5198200,99.660004
2016-09-07,100.110001,100.190002,98.419998,99.150002,6446100,99.150002
2016-09-06,97.760002,100.32,97.650002,100.089996,9019700,100.089996
2016-09-02,97.900002,98.18,97.010002,97.379997,4239700,97.379997
2016-09-01,97.809998,97.980003,96.919998,97.379997,4136500,97.379997
2016-08-31,97.480003,97.879997,96.760002,97.449997,4682100,97.449997
2016-08-30,97.839996,98.849998,97.139999,97.449997,6075800,97.449997
2016-08-29,96.970001,98.449997,96.57,97.300003,7972700,97.300003
2016-08-26,97.330002,97.949997,96.57,97.580002,6606900,97.580002
2016-08-25,96.379997,98.25,96.040001,97.32,10768700,97.32
2016-08-24,96.129997,96.360001,94.910004,95.18,6246800,95.18
2016-08-23,95.68,96.589996,95.480003,95.940002,5234400,95.940002
2016-08-22,95.669998,96.129997,94.949997,95.260002,5820200,95.260002
2016-08-19,96.050003,96.779999,95.510002,95.870003,6938400,95.870003
